group,year,mean,se,count
red,2022,0.734,0.03915689874982412,47
red,2023,0.7692153846153846,0.03179335692214175,65
red,2024,0.7821980198019801,0.02671348166995618,101
blue,2022,0.7010869565217391,0.028162629425739067,92
blue,2023,0.708672268907563,0.024541124397117368,119
blue,2024,0.8259834254143648,0.019003465606100434,181
