coc_id,year,cells_observed,cells_yes,crim_activity_index,engaged_policymakers_crim,engaged_law_enforce_crim,implemented_anticrim_practice
FL-602,2023,6,6,1.0,1,1,1
FL-602,2024,6,6,1.0,1,1,1
FL-603,2024,6,6,1.0,1,1,1
FL-604,2022,6,3,0.5,1,1,0
FL-604,2024,6,3,0.5,1,1,0
FL-606,2022,6,4,0.667,1,1,1
FL-606,2023,6,4,0.667,1,1,1
FL-606,2024,6,3,0.5,1,1,0
GA-500,2022,6,3,0.5,1,1,0
GA-500,2023,6,6,1.0,1,1,1
GA-500,2024,6,6,1.0,1,1,1
GA-501,2023,6,3,0.5,1,1,0
GA-501,2024,6,0,0.0,0,0,0
GA-502,2023,6,3,0.5,1,1,0
GA-502,2024,6,6,1.0,1,1,1
GA-503,2024,6,6,1.0,1,1,1
GA-504,2022,6,6,1.0,1,1,1
GA-504,2023,6,3,0.5,1,1,0
GA-504,2024,6,3,0.5,1,1,0
GA-505,2024,6,6,1.0,1,1,1
GA-506,2024,6,3,0.5,1,1,0
GA-507,2023,6,5,0.833,1,1,1
GA-507,2024,6,6,1.0,1,1,1
GA-508,2022,6,6,1.0,1,1,1
GA-508,2023,6,6,1.0,1,1,1
GU-500,2022,6,3,0.5,1,1,0
GU-500,2023,6,3,0.5,1,1,0
GU-500,2024,4,4,1.0,1,1,1
HI-501,2022,6,3,0.5,1,1,0
HI-501,2023,6,3,0.5,1,1,0
HI-501,2024,6,1,0.167,1,1,0
IA-500,2024,6,6,1.0,1,1,1
IA-501,2022,6,6,1.0,1,1,1
IA-502,2024,6,5,0.833,1,1,1
ID-500,2023,6,6,1.0,1,1,1
ID-500,2024,6,6,1.0,1,1,1
IL-501,2024,6,6,1.0,1,1,1
IL-503,2024,6,6,1.0,1,1,1
IL-506,2023,6,3,0.5,1,1,0
IL-506,2024,6,5,0.833,1,1,1
IL-507,2024,6,6,1.0,1,1,1
IL-508,2022,6,6,1.0,1,1,1
IL-508,2024,6,0,0.0,0,0,0
IL-510,2023,6,3,0.5,1,1,0
IL-510,2024,6,6,1.0,1,1,1
IL-511,2022,6,6,1.0,1,1,1
IL-511,2023,6,6,1.0,1,1,1
IL-511,2024,6,6,1.0,1,1,1
IL-512,2024,6,4,0.667,1,1,1
IL-513,2024,6,6,1.0,1,1,1
IL-514,2024,6,3,0.5,1,1,0
IL-515,2024,6,6,1.0,1,1,1
IL-516,2024,6,6,1.0,1,1,1
IL-517,2024,6,3,0.5,1,1,0
IL-519,2022,6,3,0.5,1,1,0
IL-519,2023,6,3,0.5,1,1,0
IL-519,2024,6,4,0.667,1,1,1
IN-502,2023,6,6,1.0,1,1,1
IN-502,2024,6,3,0.5,1,1,0
KS-503,2022,6,4,0.667,1,1,1
KS-503,2023,6,4,0.667,1,1,1
KS-503,2024,6,4,0.667,1,1,1
KS-507,2022,6,6,1.0,1,1,1
KS-507,2023,6,6,1.0,1,1,1
KY-500,2022,6,5,0.833,1,1,1
KY-500,2023,6,5,0.833,1,1,1
KY-500,2024,6,5,0.833,1,1,1
KY-501,2024,6,4,0.667,1,1,1
KY-502,2024,6,3,0.5,1,1,0
LA-502,2022,6,3,0.5,1,1,0
LA-502,2023,6,4,0.667,1,1,1
LA-502,2024,4,4,1.0,1,1,1
LA-503,2022,6,3,0.5,1,1,0
LA-503,2023,6,3,0.5,1,1,0
LA-503,2024,6,6,1.0,1,1,1
LA-506,2022,6,3,0.5,1,1,0
LA-506,2023,6,3,0.5,1,1,0
LA-506,2024,6,3,0.5,1,1,0
LA-507,2024,6,0,0.0,0,0,0
LA-509,2023,6,6,1.0,1,1,1
LA-509,2024,6,6,1.0,1,1,1
MA-500,2022,6,6,1.0,1,1,1
MA-500,2023,6,6,1.0,1,1,1
MA-500,2024,6,6,1.0,1,1,1
MA-502,2024,6,6,1.0,1,1,1
MA-503,2023,6,3,0.5,1,1,0
MA-503,2024,6,3,0.5,1,1,0
MA-504,2024,6,6,1.0,1,1,1
MA-505,2022,6,6,1.0,1,1,1
MA-505,2023,6,6,1.0,1,1,1
MA-505,2024,6,6,1.0,1,1,1
MA-506,2024,6,6,1.0,1,1,1
MA-507,2022,6,6,1.0,1,1,1
MA-507,2024,6,6,1.0,1,1,1
MA-509,2022,6,3,0.5,1,1,0
MA-509,2023,6,3,0.5,1,1,0
MA-509,2024,6,6,1.0,1,1,1
MA-511,2024,6,5,0.833,1,1,1
MA-515,2022,6,4,0.667,1,1,1
MA-515,2023,6,4,0.667,1,1,1
MA-515,2024,6,4,0.667,1,1,1
MA-516,2024,6,4,0.667,1,1,1
MA-519,2022,6,5,0.833,1,1,1
MA-519,2023,6,6,1.0,1,1,1
MD-501,2022,6,6,1.0,1,1,1
MD-501,2023,6,6,1.0,1,1,1
MD-501,2024,6,6,1.0,1,1,1
MD-503,2024,6,3,0.5,1,1,0
MD-505,2022,6,3,0.5,1,1,0
MD-505,2023,6,3,0.5,1,1,0
MD-505,2024,6,6,1.0,1,1,1
MD-506,2023,6,3,0.5,1,1,0
MD-506,2024,6,6,1.0,1,1,1
MD-509,2022,6,6,1.0,1,1,1
MD-511,2024,6,3,0.5,1,1,0
MD-513,2022,6,3,0.5,1,1,0
MD-513,2023,6,3,0.5,1,1,0
MD-513,2024,6,1,0.167,0,1,1
MD-600,2022,6,3,0.5,1,1,0
