coc_id,year,extractor,n_records,needs_review,reason
MA-500,2024,pdf_native,295,3,native PDF available
MA-502,2024,pdf_native,287,3,native PDF available
MA-503,2024,pdf_native,291,3,native PDF available
MA-504,2024,pdf_native,291,5,native PDF available
MA-505,2024,pdf_native,293,0,native PDF available
MA-506,2024,pdf_native,294,4,native PDF available
MA-507,2024,pdf_native,295,2,native PDF available
MA-509,2024,pdf_native,295,1,native PDF available
MA-511,2024,pdf_native,294,0,native PDF available
MA-515,2024,pdf_native,294,1,native PDF available
MA-516,2024,pdf_native,295,5,native PDF available
MD-501,2024,pdf_native,287,2,native PDF available
MD-503,2024,pdf_native,288,25,native PDF available
MD-505,2024,pdf_native,283,4,native PDF available
MD-506,2024,pdf_native,294,3,native PDF available
MD-511,2024,pdf_native,289,3,native PDF available
MD-513,2024,pdf_native,291,5,native PDF available
MD-600,2024,ocr_required,0,0,scanned PDF with no DOCX; OCR adapter not implemented
MD-601,2024,pdf_native,295,3,native PDF available
MI-500,2024,pdf_native,294,29,native PDF available
MI-501,2024,pdf_native,292,0,native PDF available
MI-502,2024,pdf_native,293,3,native PDF available
MI-503,2024,pdf_native,291,2,native PDF available
MI-504,2024,pdf_native,295,18,native PDF available
MI-505,2024,pdf_native,294,1,native PDF available
MI-506,2024,pdf_native,294,1,native PDF available
MI-508,2024,ocr_required,0,0,scanned PDF with no DOCX; OCR adapter not implemented
MI-510,2024,pdf_native,291,4,native PDF available
MI-512,2024,pdf_native,285,5,native PDF available
MI-514,2024,pdf_native,286,3,native PDF available
MI-516,2024,pdf_native,295,4,native PDF available
MI-519,2024,pdf_native,294,3,native PDF available
MI-523,2024,pdf_native,291,1,native PDF available
MN-501,2024,pdf_native,295,3,native PDF available
MN-503,2024,pdf_native,287,7,native PDF available
MN-504,2024,pdf_native,295,0,native PDF available
MN-506,2024,pdf_native,294,3,native PDF available
MN-509,2024,pdf_native,294,2,native PDF available
MO-503,2024,pdf_native,295,3,native PDF available
MO-600,2024,pdf_native,294,1,native PDF available
MO-602,2024,pdf_native,295,4,native PDF available
MO-603,2024,pdf_native,291,1,native PDF available
MO-606,2024,pdf_native,295,3,native PDF available
MS-501,2024,pdf_native,287,3,native PDF available
MS-503,2024,pdf_native,294,0,native PDF available
MT-500,2024,pdf_native,295,1,native PDF available
NC-500,2024,pdf_native,284,1,native PDF available
NC-501,2024,pdf_native,290,1,native PDF available
NC-502,2024,pdf_native,290,1,native PDF available
NC-505,2024,pdf_native,284,2,native PDF available
NC-506,2024,pdf_native,294,1,native PDF available
NC-507,2024,pdf_native,291,1,native PDF available
NC-511,2024,pdf_native,287,1,native PDF available
NC-513,2024,pdf_native,290,2,native PDF available
NC-516,2024,pdf_native,291,0,native PDF available
ND-500,2024,pdf_native,295,1,native PDF available
NE-500,2024,pdf_native,294,3,native PDF available
NE-501,2024,pdf_native,294,0,native PDF available
NE-502,2024,pdf_native,290,3,native PDF available
NH-500,2024,pdf_native,294,3,native PDF available
NH-501,2024,pdf_native,291,4,native PDF available
NH-502,2024,pdf_native,294,3,native PDF available
