group,year,mean,se,count
government,2022,0.7777878787878788,0.04392212369585612,33
government,2023,0.7730425531914893,0.0363536178330715,47
government,2024,0.8680555555555556,0.029104379425719012,72
nonprofit,2022,0.7089682539682539,0.029926809235806245,63
nonprofit,2023,0.735025641025641,0.02794784266349458,78
nonprofit,2024,0.8153083333333334,0.023484096161565965,120
