group,year,mean,se,count
government,2022,0.7238805970149254,0.036068308744629275,67
government,2023,0.726445652173913,0.02921168176739421,92
government,2024,0.8080757575757576,0.023745025462965648,132
nonprofit,2022,0.7026756756756757,0.028370695703772774,74
nonprofit,2023,0.7304787234042553,0.02559694867462229,94
nonprofit,2024,0.8158223684210526,0.020231317632279273,152
