coc_id,year,cells_observed,cells_yes,crim_activity_index,engaged_policymakers_crim,engaged_law_enforce_crim,implemented_anticrim_practice,1a_1a,1a_1b,1a_2,1a_3,1a_4,1b_1_1_meetings,1b_1_1_voted,1b_1_1_ces,1b_1_2_meetings,1b_1_2_voted,1b_1_2_ces,1b_1_3_meetings,1b_1_3_voted,1b_1_3_ces,1b_1_4_meetings,1b_1_4_voted,1b_1_4_ces,1b_1_5_meetings,1b_1_5_voted,1b_1_5_ces,1b_1_6_meetings,1b_1_6_voted,1b_1_6_ces,1b_1_7_meetings,1b_1_7_voted,1b_1_7_ces,1b_1_8_meetings,1b_1_8_voted,1b_1_8_ces,1b_1_9_meetings,1b_1_9_voted,1b_1_9_ces,1b_1_10_meetings,1b_1_10_voted,1b_1_10_ces,1b_1_11_meetings,1b_1_11_voted,1b_1_11_ces,1b_1_12_meetings,1b_1_12_voted,1b_1_12_ces,1b_1_13_meetings,1b_1_13_voted,1b_1_13_ces,1b_1_14_meetings,1b_1_14_voted,1b_1_14_ces,1b_1_15_meetings,1b_1_15_voted,1b_1_15_ces,1b_1_16_meetings,1b_1_16_voted,1b_1_16_ces,1b_1_17_meetings,1b_1_17_voted,1b_1_17_ces,1b_1_18_meetings,1b_1_18_voted,1b_1_18_ces,1b_1_19_meetings,1b_1_19_voted,1b_1_19_ces,1b_1_20_meetings,1b_1_20_voted,1b_1_20_ces,1b_1_21_meetings,1b_1_21_voted,1b_1_21_ces,1b_1_22_meetings,1b_1_22_voted,1b_1_22_ces,1b_1_23_meetings,1b_1_23_voted,1b_1_23_ces,1b_1_24_meetings,1b_1_24_voted,1b_1_24_ces,1b_1_25_meetings,1b_1_25_voted,1b_1_25_ces,1b_1_26_meetings,1b_1_26_voted,1b_1_26_ces,1b_1_27_meetings,1b_1_27_voted,1b_1_27_ces,1b_1_28_meetings,1b_1_28_voted,1b_1_28_ces,1b_1_29_meetings,1b_1_29_voted,1b_1_29_ces,1b_1_30_meetings,1b_1_30_voted,1b_1_30_ces,1b_1_31_meetings,1b_1_31_voted,1b_1_31_ces,1b_1_32_meetings,1b_1_32_voted,1b_1_32_ces,1b_1_33_meetings,1b_1_33_voted,1b_1_33_ces,1c_1_1,1c_1_2,1c_1_3,1c_1_4,1c_1_5,1c_1_6,1c_1_7,1c_1_8,1c_1_9,1c_1_10,1c_1_11,1c_1_12,1c_1_13,1c_1_14,1c_1_15,1c_1_16,1c_1_17,1c_3_1,1c_3_2,1c_3_3,1c_3_4,1c_3_5,1c_4_1,1c_4_2,1c_4_3,1c_4_4,1c_4c_1_mou,1c_4c_1_oth,1c_4c_2_mou,1c_4c_2_oth,1c_4c_3_mou,1c_4c_3_oth,1c_4c_4_mou,1c_4c_4_oth,1c_4c_5_mou,1c_4c_5_oth,1c_4c_6_mou,1c_4c_6_oth,1c_4c_7_mou,1c_4c_7_oth,1c_4c_8_mou,1c_4c_8_oth,1c_4c_9_mou,1c_4c_9_oth,1c_7_pha_name_1,1c_7_ph_hhm_1,1c_7_ph_limit_hhm_1,1c_7_psh_1,1c_7_pha_name_2,1c_7_ph_hhm_2,1c_7_ph_limit_hhm_2,1c_7_psh_2,1c_7b_1,1c_7b_2,1c_7b_3,1c_7b_4,1c_7c_1,1c_7c_2,1c_7c_3,1c_7c_4,1c_7c_5,1c_7c_6,1c_7c_7,1c_7d_1,1c_7e,1d_1_1,1d_1_2,1d_1_3,1d_1_4,1d_2_1,1d_2_2,1d_2_3,1d_4_1_policymakers,1d_4_1_prevent_crim,1d_4_2_policymakers,1d_4_2_prevent_crim,1d_4_3_policymakers,1d_4_3_prevent_crim,1d_5_hmis,1d_5_2023,1d_5_2024,1d_6_1,1d_6_2,1d_6_3,1d_6_4,1d_6_5,1d_9_2,1d_10a_1_years,1d_10a_1_unsheltered,1d_10a_2_years,1d_10a_2_unsheltered,1d_10a_3_years,1d_10a_3_unsheltered,1e_1_1,1e_2_1,1e_2_2,1e_2_3,1e_2_4,1e_2_5,1e_2a_1,1e_2a_2,1e_2a_3,1e_4a,1e_5_1,1e_5_2,1e_5a,1e_5b,1e_5c,1e_5d,2a_1,2a_2,2a_3,2a_5_1_non_vsp,2a_5_1_vsp,2a_5_1_hmis,2a_5_1_coverage,2a_5_3_non_vsp,2a_5_3_vsp,2a_5_3_hmis,2a_5_3_coverage,2a_5_4_non_vsp,2a_5_4_vsp,2a_5_4_hmis,2a_5_4_coverage,2a_5_5_non_vsp,2a_5_5_vsp,2a_5_5_hmis,2a_5_5_coverage,2a_5_6_non_vsp,2a_5_6_vsp,2a_5_6_hmis,2a_5_6_coverage,2a_6,2b_1,2b_2,3a_1,3a_2,3c_1,4a_1
CA-607,2024,6,6,1.0,1,1,1,CA-607,Pasadena CoC,City of Pasadena,CA,City of Pasadena,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,City of Pasadena Housing Department (CoPHD),85%,Yes,Yes,Los Angeles County Development Authority,81%,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,13.0,13.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,HIC,101,31,Yes,Yes,Yes,Yes,Yes,09/04/2024,13,9,9,5,3,2,09/13/2024,Yes,Yes,Yes,Yes,Yes,102,13,PH-PSH,Yes,,,10/14/2024,Yes,10/25/2024,10/25/2024,Bitfocus,Multiple CoCs,05/09/2024,167,0,166,0.994,56,0,56,1.0,31,0,31,0.9461,538,0,509,0.9461,75,0,75,1.0,Yes,01/23/2024,05/09/2024,Yes,Yes,No,Yes
CA-608,2024,6,6,1.0,1,1,1,CA-608,Riverside City & County CoC,County of Riverside,CA,County of Riverside,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Housing Authority of the County of Riveside,35%,Yes,Yes,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,24.0,24.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,HIC,710,830,Yes,Yes,Yes,Yes,Yes,04/01/2023,15,15,15,15,0,0,08/28/2024,Yes,Yes,Yes,Yes,Yes,92,19,PH-PSH,Yes,Yes,No,10/09/2024,Yes,10/28/2024,10/28/2024,Bitfocus Clarity,Single CoC,05/09/2024,1467,0,1057,0.7205,389,59,139,0.3103,830,0,830,1.0,2063,0,2063,1.0,0,0,0,0.0,Yes,01/24/2024,05/09/2024,Yes,Yes,No,Yes
CA-609,2023,6,6,1.0,1,1,1,CA-609,San Bernardino City & County CoC,County of San Bernardino,CA,County of San Bernardino,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Housing Authority of the County of San Bernardino,52%,Yes,Yes,Housing Authority of the City of Needles,0%,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,20.0,20.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,09/26/2023,12,12,8,7,4,3,07/25/2023,Yes,Yes,Yes,Yes,Yes,100,17,PH-PSH,No,Yes,No,08/30/2023,Yes,09/26/2023,09/26/2023,Bitfocus,Single CoC,04/26/2023,797,77,656,0.9111,489,36,261,0.5762,2136,0,2052,0.9607,1590,0,1590,1.0,,,,,Yes,01/26/2023,04/26/2023,Yes,Yes,No,Yes
CA-611,2023,6,6,1.0,1,1,1,CA-611,"Oxnard, San Buenaventura/Ventura County CoC",County of Ventura,CA,Ventura County Human Services Agency,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Housing Authority of the County of Ventura,38%,Yes,Yes,Housing Authority of the City of Oxnard,43%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,19.0,19.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,09/25/2023,5,3,8,4,3,3,08/18/2023,Yes,Yes,Yes,Yes,Yes,100,17,PH-PSH,No,Yes,No,09/25/2023,Yes,09/26/2023,09/26/2023,WellSky,Single CoC,04/27/2023,786,51,735,1.0,284,100,130,0.7065,547,0,547,1.0,734,0,352,0.4796,269,0,0,0.0,Yes,01/24/2023,04/27/2023,Yes,Yes,No,Yes
CA-612,2024,6,6,1.0,1,1,1,CA-612,Glendale CoC,City of Glendale/Glendale Housing Authority,CA,City of Glendale/Glendale Housing Authority,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,CA-114 Glendale Housing Authority,40%,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,7.0,7.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,HIC,30,38,Yes,Yes,Yes,Yes,Yes,03/15/2023,45,80,40,36,7,7,08/12/2024,Yes,Yes,Yes,Yes,Yes,100,8,PH-PSH,Yes,No,No,09/11/2024,Yes,10/20/2024,10/20/2024,Bitfocus,Multiple CoCs,05/10/2024,77,16,61,0.7,44,44,0,0.93,38,0,38,1.0,156,0,156,0.91,0,0,0,0.0,Yes,01/24/2024,05/10/2024,No,No,No,
CA-613,2024,6,6,1.0,1,1,1,CA-613,Imperial County CoC,County of Imperial,CA,Regional Task Force on Homelessness,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Imperial Valley Housing Authority,18%,No,No,Housing Authority of the City of Calexico,0%,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,4.0,4.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,HIC,156,320,Yes,Yes,Yes,Yes,Yes,07/25/2024,1,1,1,1,1,1,08/29/2024,Yes,Yes,Yes,Yes,Yes,100,2,Tie,No,No,No,10/15/2024,Yes,10/24/2024,10/24/2024,,Single CoC,05/10/2024,286,39,269,0.8277,101,11,65,0.5804,320,0,320,1.0,32,0,6,0.1875,423,0,407,0.9622,Yes,01/26/2024,05/10/2024,No,No,No,Yes
CA-614,2022,,,,,,,CA-614,San Luis Obispo County CoC,County of San Luis Obispo,CA,County of San Luis Obispo,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Nonexistent,No,No,Yes,Yes,Yes,,,,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,Yes,Yes,No,,,,,,,,,,Yes,Yes,Yes,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/18/2022,,,,,,,,,,,,,,,,,,,,,,10/18/2022,10/18/2022,No,,,
CA-614,2023,6,2,0.333,1,0,0,CA-614,San Luis Obispo County CoC,County of San Luis Obispo,CA,County of San Luis Obispo,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,No,No,Nonexistent,No,No,Yes,Yes,Yes,Nonexistent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Nonexistent,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Housing Authority of San Luis Obispo,59%,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,6.0,6.0,1.0,Yes,No,No,No,Yes,No,HMIS,253,379,Yes,Yes,Yes,Yes,No,09/26/2023,3,2,3,3,1,1,08/16/2023,Yes,Yes,Yes,Yes,Yes,315,5,None,No,No,No,08/28/2023,Yes,09/26/2023,09/26/2023,Bell Data,Single CoC,04/28/2023,282,27,265,1.0392,32,24,8,1.0,283,0,283,1.0,363,0,363,1.0,515,0,515,1.0,Yes,01/24/2023,04/28/2023,Yes,Yes,No,Yes
CA-614,2024,6,2,0.333,1,1,1,CA-614,San Luis Obispo County CoC,County of San Luis Obispo,CA,County of San Luis Obispo,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Nonexistent,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,No,No,No,Yes,Yes,Yes,Nonexistent,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,4.0,4.0,1.0,Yes,Yes,No,No,No,No,,,,Yes,No,No,Yes,Yes,09/21/2022,3,2,2,2,1,1,08/07/2024,Yes,Yes,Yes,Yes,Yes,240,4,Tie,No,No,No,10/04/2024,Yes,,10/28/2024,Human Services,Single CoC,05/16/2024,290,27,294,0.9274,16,30,46,1.0,346,0,346,1.0,363,0,363,1.0,313,0,313,1.0,Yes,01/23/2024,05/14/2024,Yes,Yes,No,Yes
CO-500,2024,6,6,1.0,1,1,1,CO-500,Colorado Balance of State CoC,Division of Housing,CA,Division of Housing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Colorado Division of Housing,35%,Yes,Yes,Housing Authority of the City of Pueblo,0%,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,11.0,11.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,HIC,406,396,Yes,Yes,Yes,Yes,Yes,05/15/2024,10,10,10,10,3,3,08/12/2024,Yes,Yes,Yes,Yes,Yes,188,10,Tie,No,Yes,No,10/10/2024,Yes,10/28/2024,10/28/2024,Bitfocus,Statewide,04/27/2024,766,153,914,0.9946,449,19,359,0.7671,312,84,347,0.8763,1180,0,602,0.5102,83,0,0,0.0,No,01/30/2024,05/09/2024,Yes,No,No,Yes
CO-503,2024,6,6,1.0,1,1,1,CO-503,Metropolitan Denver CoC,Metro Denver Homeless Initiative,CA,Metro Denver Homeless Initiative,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Colorado Division of Housing,35%,Yes,Yes,Housing Authority of the City and County of Denver,28%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,21.0,21.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,01/16/2023,19,14,10,5,7,2,08/08/2024,Yes,Yes,Yes,Yes,No,110,15,PH-PSH,Yes,Yes,Yes,10/10/2024,Yes,10/25/2024,10/25/2024,Bitfocus,Statewide,05/10/2024,6138,163,6141,0.9746,2097,18,1349,0.6378,1285,0,1285,1.0,4896,0,3533,0.7216,4715,0,2417,0.5126,Yes,01/22/2024,05/10/2024,No,No,No,Yes
CO-504,2022,6,4,0.667,1,1,1,CO-504,Colorado Springs/El Paso County CoC,Community Health Partnership,CA,Community Health Partnership,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Nonexistent,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Colorado Springs Housing Authority,25%,No,No,Colorado Department of Local Affairs,100%,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,7.0,7.0,1.0,Yes,No,Yes,No,Yes,Yes,HMIS,179,207,Yes,Yes,Yes,Yes,No,09/30/2022,44,17,3,2,2,1,08/12/2022,Yes,Yes,Yes,Yes,No,40,9,PH-PSH,Yes,,,09/14/2022,Yes,09/28/2022,09/30/2022,Services,Statewide,04/25/2022,947,0,947,1.0,523,69,96,0.2115,235,29,206,1.0,534,0,534,1.0,291,0,291,1.0,Yes,02/21/2022,04/25/2022,Yes,No,No,No
